"","Month","ArrivalNumSA"
"1","2019.01",827950
"2","2019.02",823464
"3","2019.03",844898
"4","2019.04",856889
"5","2019.05",857715
"6","2019.06",853720
"7","2019.07",849782
"8","2019.08",885997
"9","2019.09",836693
"10","2019.10",853254
"11","2019.11",850997
"12","2019.12",885743
"13","2020.01",871579
"14","2020.02",873551
"15","2020.03",413626
"16","2020.04",4944
"17","2020.05",10267
"18","2020.06",15879
"19","2020.07",19090
"20","2020.08",22476
"21","2020.09",21511
"22","2020.10",84423
"23","2020.11",196627
"24","2020.12",224090
"25","2021.01",177506
"26","2021.02",254576
"27","2021.03",417058
"28","2021.04",488184
"29","2021.05",645498
"30","2021.06",704350
"31","2021.07",738469
"32","2021.08",699493
